# Launch Day Conditions (Up to date),,,,,,,,,,,,,
# 356 data points written for 14 variables.,,,,,,,,,,,,,
# Simulation warnings:,,,,,,,,,,,,,
"#   Discontinuity in rocket body diameter:  ""Nose cone"""," ""Body tube""",,,,,,,,,,,,
#,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),CG location (cm),Stability margin calibers (),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,90,66.5,NaN,2.791,175
0.01,0,0,0,0,0,0,0,0,90,66.497,NaN,2.806,175
0.02,0,0,0,0,0,0,0,0,90,66.495,NaN,2.821,175
0.03,0,0,0,0,0,0,0,0,90,66.493,NaN,2.836,175
0.04,0,0,0,0,0,0,0,0,90,66.491,NaN,2.851,175
0.05,0,0,0,0,0,0,0,0,90,66.489,NaN,2.866,175
0.06,0,0,0,0,0,0,0,0,90,66.486,NaN,2.891,175
0.07,0,0,0,0,0,0,0,0,90,66.484,NaN,2.915,175
0.08,0,0,0,0,0,0,0,0,90,66.482,NaN,2.94,175
0.09,0,0,0,0,0,0,0,0,90,66.48,NaN,2.964,175
0.1,0,0,0,0,0,0,0,0,90,66.478,NaN,2.989,175
0.11,0,0,0.001,0.263,0.346,0,0,0,89.992,66.475,NaN,2.982,175
0.12,0,0.008,0.008,1.178,1.199,0,0,0,89.853,66.473,NaN,2.975,175
0.13,0,0.024,0.024,2.093,2.105,0,0,0,89.536,66.471,NaN,2.969,175
0.14,0.001,0.05,0.05,3.009,3.017,0,0,0,89.04,66.469,NaN,2.962,175
0.148,0.001,0.077,0.077,3.741,3.748,0,0,0,88.513,66.467,NaN,2.957,175
0.158,0.002,0.119,0.12,4.767,4.771,0,0,0,87.656,66.461,NaN,2.919,175
0.168,0.003,0.172,0.172,5.792,5.796,0,0,0,86.562,66.455,NaN,2.874,175
0.178,0.005,0.235,0.235,6.819,6.822,0,0.001,0.001,85.227,66.45,NaN,2.828,175
0.188,0.008,0.308,0.309,7.845,7.848,0,0.001,0.001,83.641,66.444,NaN,2.783,175
0.198,0.012,0.392,0.392,8.872,8.874,0,0.001,0.001,81.799,66.438,NaN,2.738,175
